Rk,Player,ID,Tm,1718,1819,1920,2021,2122,2223,Signed Using,Guaranteed,Year,Cap,Conversion1718
290,Clint Capela,capelca01,HOU,2334520,,,,,,1st Round Pick,2334520,2014,6306,2968203
291,Arron Afflalo,afflaar01,ORL,2328652,,,,,,Minimum Salary,2328652,2017,9909,2373537
292,Raymond Felton,feltora01,OKC,2328652,,,,,,Minimum Salary,2328652,2017,9909,2373537
293,Nick Collison,collini01,OKC,2328652,,,,,,Minimum Salary,2328652,2017,9909,2373537
294,Ramon Sessions,sessira01,NYK,2328652,,,,,,,2328652,2017,9909,2373537
295,Jarrett Jack,jackja01,NYK,2328652,,,,,,Minimum Salary,2328652,2017,9909,2373537
296,Jason Terry,terryja01,MIL,2328652,,,,,,Minimum Salary,2328652,2017,9909,2373537
297,Udonis Haslem,hasleud01,MIA,2328652,,,,,,Minimum Salary,2328652,2017,9909,2373537
298,Dwyane Wade,wadedw01,MIA,2328652,,,,,,Minimum Salary,2328652,2017,9909,2373537
299,David West,westda01,GSW,2328652,,,,,,Minimum Salary,2328652,2017,9909,2373537
300,Richard Jefferson,jefferi01,DEN,2328652,,,,,,Minimum Salary,2328652,2016,9414,2313279
301,Jose Calderon,caldejo01,CLE,2328652,,,,,,Minimum Salary,2328652,2017,9909,2373537
302,Andrew Bogut,bogutan01,LAL,2328652,,,,,,,,2017,9909,2373537
303,Devin Booker,bookede01,PHO,2319360,3314365,,,,,1st round pick,5633725,2017,9909,2364066
304,Georgios Papagiannis,papagge01,SAC,2301360,2400480,3430288,,,,,4701840,2016,9414,2286167
305,Dante Cunningham,cunnida01,BRK,2300000,,,,,,MLE,2300000,2017,9909,2344333
306,Jameer Nelson,nelsoja01,DET,2262871,,,,,,,2262871,2017,9909,2306488
307,Justin Patton,pattoju01,MIN,2247480,2667600,3117240,4781846,,,1st Round Pick,4915080,2017,9909,2290801
308,Guerschon Yabusele,yabusgu01,BOS,2247480,2667600,3117240,4781846,,,1st Round Pick,4915080,2017,9909,2290801
309,Monta Ellis,ellismo01,IND,2245400,2245400,2245400,2245400,2245400,,,11227000,2015,7000,2777598
310,Cameron Payne,payneca01,CHI,2203440,3263295,,,,,1st round pick,5466735,2015,7000,2725693
311,Denzel Valentine,valende01,CHI,2186400,2280600,3377569,,,,1st Round pick,4467000,2016,9414,2171966
312,Josh Smith,smithjo03,NOP,2183934,,,,,,,,2017,9909,2226030
313,Kyle Anderson,anderky01,SAS,2151704,,,,,,1st Round Pick,2151704,2014,6306,2735764
314,D.J. Wilson,wilsodj01,MIL,2135040,2534280,2961120,4548280,,,1st Round Pick,4669320,2017,9909,2176193
316,Derrick Rose,rosede01,UTA,2116955,,,,,,,2116955,2017,9909,2157760
317,Marreese Speights,speigma01,ORL,2116955,,,,,,Minimum Salary,2116955,2017,9909,2157760
318,Michael Beasley,beaslmi01,NYK,2116955,,,,,,Minimum Salary,2116955,2017,9909,2157760
319,Aaron Brooks,brookaa01,MIN,2116955,,,,,,,2116955,2017,9909,2157760
320,Luc Mbah a Moute,mbahalu01,HOU,2116955,,,,,,Minimum Salary,2116955,2017,9909,2157760
321,JaVale McGee,mcgeeja01,GSW,2116955,,,,,,,2116955,2017,9909,2157760
322,Jeff Green,greenje02,CLE,2116955,,,,,,Minimum Salary,2116955,2017,9909,2157760
323,Tony Allen,allento01,CHI,2116955,,,,,,,2116955,2017,9909,2157760
324,Damien Wilkins,wilkida02,IND,2116955,,,,,,,25000,2017,9909,2157760
325,Omri Casspi,casspom01,GSW,2106470,,,,,,,2106470,2017,9909,2147073
326,Mario Chalmers,chalmma01,MEM,2106407,,,,,,Minimum Salary,2106407,2017,9909,2147008
327,Darius Miller,milleda01,NOP,2100000,2205000,,,,,MLE,2100000,2017,9909,2140478
328,Kelly Oubre,oubreke01,WAS,2093040,3208630,,,,,1st round pick,5301670,2015,7000,2589126
329,Juan Hernangomez,hernaju01,DEN,2076840,2166360,3321030,,,,1st Round pick,4243200,2016,9414,2063129
330,T.J. Leaf,leaftj01,IND,2028360,2407560,2813280,4326825,,,1st Round Pick,4435920,2017,9909,2067457
331,Tim Frazier,fraziti01,WAS,2000000,,,,,,Room exception,2000000,2016,9414,1986796
332,Anthony Tolliver,tollian01,SAC,2000000,,,,,,,2000000,2014,6306,2542881
333,Terry Rozier,roziete01,BOS,1988520,3050390,,,,,1st round pick,5038910,2015,7000,2459833
334,Luke Babbitt,babbilu01,MIA,1974159,,,,,,Minimum Salary,987080,2017,9909,2012211
335,John Collins,collijo01,ATL,1936920,2299080,2686560,4137302,,,1st Round Pick,4236000,2017,9909,1974254
336,Anderson Varejao,varejan01,POR,1913345,1913345,1913345,1913345,,,,7653380,2016,9414,1900713
337,Rashad Vaughn,vaughra01,NOP,1889040,,,,,,,1889040,2016,9414,1876569
338,Tim Duncan,duncati01,SAS,1881250,1881250,,,,,,3762500,2015,7000,2327139
339,Wade Baldwin,baldwwa01,MEM,1874400,,,,,,,1874400,2016,9414,1862025
340,Larry Sanders,sandela01,MIL,1865547,1865547,1865547,1865547,1865547,,,9327735,2017,9909,1901506
341,Harry Giles,gilesha01,SAC,1859400,2207040,2578800,3976510,,,1st Round Pick,4066440,2017,9909,1895240
342,Sam Dekker,dekkesa01,LAC,1794600,2760095,,,,,1st Round pick,4554695,2015,7000,2219951
343,Terrance Ferguson,fergute01,OKC,1785000,2118840,2475840,3944013,,,1st Round Pick,3903840,2017,9909,1819406
344,Henry Ellenson,ellenhe01,DET,1780800,1857480,2856804,,,,1st Round pick,3638280,2016,9414,1769043
345,Eric Moreland,moreler01,DET,1739333,1826300,1913267,,,,MLE,1739333,2017,9909,1772859
346,Jerian Grant,grantje02,CHI,1713840,2639314,,,,,1st Round pick,4353154,2015,7000,2120049
347,Jarrett Allen,allenja01,BRK,1713720,2034120,2376840,3909902,,,1st Round Pick,3747840,2017,9909,1746752
348,Mike Scott,scottmi01,WAS,1709538,,,,,,Minimum Salary,1709538,2017,9909,1742490
349,Tyler Zeller,zellety01,MIL,1709538,1933941,,,,,,1709538,2017,9909,1742490
350,Quincy Acy,acyqu01,BRK,1709538,,,,,,,,2017,9909,1742490
351,Malik Beasley,beaslma01,DEN,1700640,1773840,2731714,,,,1st Round pick,3474480,2016,9414,1689412
352,Mike Dunleavy,dunlemi02,ATL,1662500,,,,,,,1662500,2017,9909,1694545
353,Delon Wright,wrighde01,TOR,1645200,2536898,,,,,1st Round pick,4182098,2015,7000,2035141
354,OG Anunoby,anunoog01,TOR,1645200,1952760,2281800,3872215,,,1st Round Pick,3597960,2017,9909,1676911
355,Ante Zizic,zizican01,CLE,1645200,1952760,2281800,3872215,,,1st Round Pick,3597960,2017,9909,1676911
356,Caris LeVert,leverca01,BRK,1632480,1702800,2625718,,,,1st Round pick,3335280,2016,9414,1621702
357,Justin Anderson,anderju01,PHI,1579440,2516048,,,,,1st Round pick,4095488,2015,7000,1953794
358,Tyler Lydon,lydonty01,DEN,1579440,1874640,2190720,,,,1st Round Pick,3454080,2017,9909,1609884
359,Jeff Withey,witheje01,DAL,1577320,1795015,,,,,,350000,2017,9909,1607723
360,Ian Clark,clarkia01,NOP,1577230,,,,,,Minimum Salary,1577230,2017,9909,1607631
361,Shabazz Muhammad,muhamsh01,MIN,1577230,1795015,,,,,,1577230,2017,9909,1607631
362,Willie Reed,reedwi02,CHI,1577230,,,,,,,1577230,2017,9909,1607631
363,DeAndre Liggins,liggide01,MIL,1577230,,,,,,,,2017,9909,1607631
364,DeAndre' Bembry,bembrde01,ATL,1567200,1634640,2603982,,,,1st Round pick,3201840,2016,9414,1556853
365,Joffrey Lauvergne,lauvejo01,SAS,1524305,1656092,,,,,,1524305,2017,9909,1553686
366,Jerami Grant,grantje01,OKC,1524305,,,,,,Draft Pick,1524305,2014,6306,1938063
367,Johnny O'Bryant,obryajo01,NYK,1524305,,,,,,,1524305,2017,9909,1553686
368,Tyler Ennis,ennisty01,LAL,1524305,1656092,,,,,Minimum Salary,1524305,2017,9909,1553686
369,Julyan Stone,stoneju01,CHO,1524305,1656092,,,,,Minimum Salary,1524305,2017,9909,1553686
370,Sean Kilpatrick,kilpase01,BRK,1524305,,,,,,,1524305,2016,9414,1514242
371,Joe Harris,harrijo01,BRK,1524305,,,,,,Minimum Salary,1524305,2016,9414,1514242
372,Spencer Dinwiddie,dinwisp01,BRK,1524305,1656092,,,,,Minimum Salary,1524305,2016,9414,1514242
373,Shane Larkin,larkish01,BOS,1524305,,,,,,Minimum Salary,1524305,2017,9909,1553686
374,Glenn Robinson,robingl02,IND,1524305,,,,,,,,2015,7000,1885591
375,Bobby Brown,brownbo02,HOU,1524305,,,,,,,,2017,9909,1553686
